,@type,eg:amount_beneficiaries,eg:county,eg:indicator,eg:n_beneficiaries,eg:state
62,eg:Record,2100000,Butler,Aged 65 or older / Men,1450,Alabama
63,eg:Record,22312000,Calhoun,Retirement / Retired workers,17635,Alabama
64,eg:Record,488000,Calhoun,Retirement / Spouses,725,Alabama
65,eg:Record,222000,Calhoun,Retirement / Children,325,Alabama
66,eg:Record,2496000,Calhoun,Survivors / Widow(er)s and parents,2235,Alabama
67,eg:Record,954000,Calhoun,Survivors / Children,1185,Alabama
68,eg:Record,7740000,Calhoun,Disability / Disabled workers,6870,Alabama
69,eg:Record,24000,Calhoun,Disability / Spouses,80,Alabama
70,eg:Record,480000,Calhoun,Disability / Children,1275,Alabama
71,eg:Record,11499000,Calhoun,Aged 65 or older / Men,8095,Alabama
72,eg:Record,7719000,Chambers,Retirement / Retired workers,5860,Alabama
73,eg:Record,89000,Chambers,Retirement / Spouses,140,Alabama
74,eg:Record,55000,Chambers,Retirement / Children,75,Alabama
75,eg:Record,630000,Chambers,Survivors / Widow(er)s and parents,585,Alabama
76,eg:Record,246000,Chambers,Survivors / Children,295,Alabama
77,eg:Record,3046000,Chambers,Disability / Disabled workers,2495,Alabama
78,eg:Record,7000,Chambers,Disability / Spouses,20,Alabama
79,eg:Record,167000,Chambers,Disability / Children,430,Alabama
80,eg:Record,3950000,Chambers,Aged 65 or older / Men,2670,Alabama
81,eg:Record,6275000,Cherokee,Retirement / Retired workers,4705,Alabama
82,eg:Record,119000,Cherokee,Retirement / Spouses,175,Alabama
83,eg:Record,38000,Cherokee,Retirement / Children,50,Alabama
84,eg:Record,553000,Cherokee,Survivors / Widow(er)s and parents,505,Alabama
85,eg:Record,222000,Cherokee,Survivors / Children,265,Alabama
86,eg:Record,2085000,Cherokee,Disability / Disabled workers,1770,Alabama
87,eg:Record,10000,Cherokee,Disability / Spouses,35,Alabama
88,eg:Record,137000,Cherokee,Disability / Children,385,Alabama
89,eg:Record,3484000,Cherokee,Aged 65 or older / Men,2315,Alabama
90,eg:Record,8052000,Chilton,Retirement / Retired workers,5920,Alabama
91,eg:Record,224000,Chilton,Retirement / Spouses,315,Alabama
92,eg:Record,69000,Chilton,Retirement / Children,105,Alabama
93,eg:Record,988000,Chilton,Survivors / Widow(er)s and parents,830,Alabama
94,eg:Record,351000,Chilton,Survivors / Children,415,Alabama
95,eg:Record,2826000,Chilton,Disability / Disabled workers,2360,Alabama
96,eg:Record,13000,Chilton,Disability / Spouses,40,Alabama
97,eg:Record,180000,Chilton,Disability / Children,455,Alabama
98,eg:Record,4465000,Chilton,Aged 65 or older / Men,2860,Alabama
99,eg:Record,3141000,Choctaw,Retirement / Retired workers,2320,Alabama
100,eg:Record,101000,Choctaw,Retirement / Spouses,140,Alabama
101,eg:Record,45000,Choctaw,Retirement / Children,60,Alabama
102,eg:Record,427000,Choctaw,Survivors / Widow(er)s and parents,360,Alabama
103,eg:Record,123000,Choctaw,Survivors / Children,150,Alabama
104,eg:Record,1305000,Choctaw,Disability / Disabled workers,1045,Alabama
105,eg:Record,10000,Choctaw,Disability / Spouses,25,Alabama
106,eg:Record,83000,Choctaw,Disability / Children,210,Alabama
107,eg:Record,1860000,Choctaw,Aged 65 or older / Men,1180,Alabama
108,eg:Record,5406000,Clarke,Retirement / Retired workers,3920,Alabama
109,eg:Record,186000,Clarke,Retirement / Spouses,265,Alabama
110,eg:Record,69000,Clarke,Retirement / Children,105,Alabama
111,eg:Record,659000,Clarke,Survivors / Widow(er)s and parents,575,Alabama
112,eg:Record,247000,Clarke,Survivors / Children,320,Alabama
113,eg:Record,1916000,Clarke,Disability / Disabled workers,1650,Alabama
114,eg:Record,14000,Clarke,Disability / Spouses,45,Alabama
115,eg:Record,135000,Clarke,Disability / Children,390,Alabama
116,eg:Record,3152000,Clarke,Aged 65 or older / Men,1945,Alabama
117,eg:Record,3029000,Clay,Retirement / Retired workers,2435,Alabama
118,eg:Record,51000,Clay,Retirement / Spouses,80,Alabama
119,eg:Record,14000,Clay,Retirement / Children,25,Alabama
120,eg:Record,285000,Clay,Survivors / Widow(er)s and parents,250,Alabama
121,eg:Record,93000,Clay,Survivors / Children,110,Alabama
122,eg:Record,1054000,Clay,Disability / Disabled workers,925,Alabama
123,eg:Record,1000,Clay,Disability / Spouses,5,Alabama
124,eg:Record,60000,Clay,Disability / Children,165,Alabama
125,eg:Record,1578000,Clay,Aged 65 or older / Men,1135,Alabama
126,eg:Record,3113000,Cleburne,Retirement / Retired workers,2470,Alabama
127,eg:Record,54000,Cleburne,Retirement / Spouses,90,Alabama
128,eg:Record,37000,Cleburne,Retirement / Children,60,Alabama
129,eg:Record,306000,Cleburne,Survivors / Widow(er)s and parents,295,Alabama
130,eg:Record,111000,Cleburne,Survivors / Children,135,Alabama
131,eg:Record,925000,Cleburne,Disability / Disabled workers,765,Alabama
132,eg:Record,3000,Cleburne,Disability / Spouses,10,Alabama
133,eg:Record,57000,Cleburne,Disability / Children,140,Alabama
134,eg:Record,1631000,Cleburne,Aged 65 or older / Men,1155,Alabama
135,eg:Record,9605000,Coffee,Retirement / Retired workers,7325,Alabama
136,eg:Record,246000,Coffee,Retirement / Spouses,340,Alabama
137,eg:Record,64000,Coffee,Retirement / Children,95,Alabama
138,eg:Record,912000,Coffee,Survivors / Widow(er)s and parents,800,Alabama
139,eg:Record,314000,Coffee,Survivors / Children,385,Alabama
140,eg:Record,2409000,Coffee,Disability / Disabled workers,2135,Alabama
141,eg:Record,12000,Coffee,Disability / Spouses,35,Alabama
142,eg:Record,165000,Coffee,Disability / Children,465,Alabama
143,eg:Record,5240000,Coffee,Aged 65 or older / Men,3435,Alabama
144,eg:Record,12873000,Colbert,Retirement / Retired workers,9165,Alabama
145,eg:Record,352000,Colbert,Retirement / Spouses,485,Alabama
146,eg:Record,120000,Colbert,Retirement / Children,160,Alabama
147,eg:Record,1535000,Colbert,Survivors / Widow(er)s and parents,1205,Alabama
148,eg:Record,442000,Colbert,Survivors / Children,520,Alabama
149,eg:Record,3737000,Colbert,Disability / Disabled workers,3210,Alabama
150,eg:Record,13000,Colbert,Disability / Spouses,45,Alabama
151,eg:Record,185000,Colbert,Disability / Children,520,Alabama
152,eg:Record,6917000,Colbert,Aged 65 or older / Men,4275,Alabama
153,eg:Record,2723000,Conecuh,Retirement / Retired workers,2160,Alabama
154,eg:Record,62000,Conecuh,Retirement / Spouses,95,Alabama
155,eg:Record,25000,Conecuh,Retirement / Children,45,Alabama
156,eg:Record,264000,Conecuh,Survivors / Widow(er)s and parents,255,Alabama
157,eg:Record,112000,Conecuh,Survivors / Children,155,Alabama
158,eg:Record,1164000,Conecuh,Disability / Disabled workers,1025,Alabama
159,eg:Record,6000,Conecuh,Disability / Spouses,25,Alabama
160,eg:Record,69000,Conecuh,Disability / Children,210,Alabama
161,eg:Record,1475000,Conecuh,Aged 65 or older / Men,1045,Alabama
162,eg:Record,2172000,Coosa,Retirement / Retired workers,1640,Alabama
163,eg:Record,48000,Coosa,Retirement / Spouses,65,Alabama
164,eg:Record,17000,Coosa,Retirement / Children,30,Alabama
165,eg:Record,185000,Coosa,Survivors / Widow(er)s and parents,165,Alabama
166,eg:Record,54000,Coosa,Survivors / Children,70,Alabama
167,eg:Record,971000,Coosa,Disability / Disabled workers,810,Alabama
168,eg:Record,3000,Coosa,Disability / Spouses,10,Alabama
169,eg:Record,56000,Coosa,Disability / Children,160,Alabama
170,eg:Record,1239000,Coosa,Aged 65 or older / Men,825,Alabama
171,eg:Record,8555000,Covington,Retirement / Retired workers,6815,Alabama
172,eg:Record,139000,Covington,Retirement / Spouses,210,Alabama
173,eg:Record,52000,Covington,Retirement / Children,80,Alabama
174,eg:Record,839000,Covington,Survivors / Widow(er)s and parents,755,Alabama
175,eg:Record,282000,Covington,Survivors / Children,355,Alabama
176,eg:Record,2390000,Covington,Disability / Disabled workers,2155,Alabama
177,eg:Record,7000,Covington,Disability / Spouses,30,Alabama
178,eg:Record,119000,Covington,Disability / Children,370,Alabama
179,eg:Record,4467000,Covington,Aged 65 or older / Men,3120,Alabama
180,eg:Record,3025000,Crenshaw,Retirement / Retired workers,2465,Alabama
181,eg:Record,44000,Crenshaw,Retirement / Spouses,70,Alabama
182,eg:Record,19000,Crenshaw,Retirement / Children,30,Alabama
183,eg:Record,286000,Crenshaw,Survivors / Widow(er)s and parents,270,Alabama
184,eg:Record,119000,Crenshaw,Survivors / Children,165,Alabama
185,eg:Record,914000,Crenshaw,Disability / Disabled workers,830,Alabama
186,eg:Record,4000,Crenshaw,Disability / Spouses,15,Alabama
187,eg:Record,45000,Crenshaw,Disability / Children,150,Alabama
188,eg:Record,1560000,Crenshaw,Aged 65 or older / Men,1145,Alabama
189,eg:Record,18019000,Cullman,Retirement / Retired workers,13445,Alabama
190,eg:Record,470000,Cullman,Retirement / Spouses,680,Alabama
191,eg:Record,170000,Cullman,Retirement / Children,225,Alabama
192,eg:Record,2053000,Cullman,Survivors / Widow(er)s and parents,1720,Alabama
193,eg:Record,635000,Cullman,Survivors / Children,780,Alabama
194,eg:Record,5023000,Cullman,Disability / Disabled workers,4230,Alabama
195,eg:Record,21000,Cullman,Disability / Spouses,70,Alabama
196,eg:Record,290000,Cullman,Disability / Children,780,Alabama
197,eg:Record,9805000,Cullman,Aged 65 or older / Men,6400,Alabama
198,eg:Record,8650000,Dale,Retirement / Retired workers,6730,Alabama
199,eg:Record,219000,Dale,Retirement / Spouses,330,Alabama
200,eg:Record,78000,Dale,Retirement / Children,125,Alabama
201,eg:Record,964000,Dale,Survivors / Widow(er)s and parents,865,Alabama
202,eg:Record,315000,Dale,Survivors / Children,430,Alabama
203,eg:Record,2846000,Dale,Disability / Disabled workers,2555,Alabama
204,eg:Record,12000,Dale,Disability / Spouses,40,Alabama
205,eg:Record,166000,Dale,Disability / Children,490,Alabama
206,eg:Record,4867000,Dale,Aged 65 or older / Men,3280,Alabama
207,eg:Record,7313000,Dallas,Retirement / Retired workers,5900,Alabama
208,eg:Record,131000,Dallas,Retirement / Spouses,210,Alabama
209,eg:Record,91000,Dallas,Retirement / Children,150,Alabama
210,eg:Record,751000,Dallas,Survivors / Widow(er)s and parents,745,Alabama
211,eg:Record,407000,Dallas,Survivors / Children,595,Alabama
212,eg:Record,2995000,Dallas,Disability / Disabled workers,2810,Alabama
213,eg:Record,12000,Dallas,Disability / Spouses,35,Alabama
214,eg:Record,184000,Dallas,Disability / Children,570,Alabama
215,eg:Record,3772000,Dallas,Aged 65 or older / Men,2695,Alabama
216,eg:Record,13519000,DeKalb,Retirement / Retired workers,10640,Alabama
217,eg:Record,303000,DeKalb,Retirement / Spouses,465,Alabama
218,eg:Record,121000,DeKalb,Retirement / Children,190,Alabama
219,eg:Record,1387000,DeKalb,Survivors / Widow(er)s and parents,1225,Alabama
220,eg:Record,526000,DeKalb,Survivors / Children,665,Alabama
221,eg:Record,4128000,DeKalb,Disability / Disabled workers,3625,Alabama
222,eg:Record,14000,DeKalb,Disability / Spouses,50,Alabama
223,eg:Record,233000,DeKalb,Disability / Children,660,Alabama
224,eg:Record,7262000,DeKalb,Aged 65 or older / Men,5025,Alabama
225,eg:Record,16263000,Elmore,Retirement / Retired workers,11735,Alabama
226,eg:Record,327000,Elmore,Retirement / Spouses,420,Alabama
227,eg:Record,137000,Elmore,Retirement / Children,200,Alabama
228,eg:Record,1366000,Elmore,Survivors / Widow(er)s and parents,1140,Alabama
229,eg:Record,617000,Elmore,Survivors / Children,755,Alabama
230,eg:Record,4325000,Elmore,Disability / Disabled workers,3560,Alabama
231,eg:Record,11000,Elmore,Disability / Spouses,35,Alabama
232,eg:Record,311000,Elmore,Disability / Children,825,Alabama
233,eg:Record,8668000,Elmore,Aged 65 or older / Men,5520,Alabama
234,eg:Record,7404000,Escambia,Retirement / Retired workers,5635,Alabama
235,eg:Record,211000,Escambia,Retirement / Spouses,310,Alabama
236,eg:Record,66000,Escambia,Retirement / Children,95,Alabama
237,eg:Record,920000,Escambia,Survivors / Widow(er)s and parents,805,Alabama
238,eg:Record,321000,Escambia,Survivors / Children,385,Alabama
239,eg:Record,2534000,Escambia,Disability / Disabled workers,2195,Alabama
240,eg:Record,15000,Escambia,Disability / Spouses,45,Alabama
241,eg:Record,172000,Escambia,Disability / Children,505,Alabama
242,eg:Record,4010000,Escambia,Aged 65 or older / Men,2665,Alabama
243,eg:Record,22138000,Etowah,Retirement / Retired workers,16190,Alabama
244,eg:Record,631000,Etowah,Retirement / Spouses,880,Alabama
245,eg:Record,278000,Etowah,Retirement / Children,385,Alabama
246,eg:Record,2897000,Etowah,Survivors / Widow(er)s and parents,2335,Alabama
247,eg:Record,922000,Etowah,Survivors / Children,1105,Alabama
248,eg:Record,7564000,Etowah,Disability / Disabled workers,6585,Alabama
249,eg:Record,35000,Etowah,Disability / Spouses,100,Alabama
250,eg:Record,466000,Etowah,Disability / Children,1305,Alabama
251,eg:Record,12059000,Etowah,Aged 65 or older / Men,7700,Alabama
252,eg:Record,4117000,Fayette,Retirement / Retired workers,3170,Alabama
253,eg:Record,82000,Fayette,Retirement / Spouses,130,Alabama
254,eg:Record,31000,Fayette,Retirement / Children,45,Alabama
255,eg:Record,423000,Fayette,Survivors / Widow(er)s and parents,375,Alabama
256,eg:Record,148000,Fayette,Survivors / Children,190,Alabama
257,eg:Record,1462000,Fayette,Disability / Disabled workers,1235,Alabama
258,eg:Record,7000,Fayette,Disability / Spouses,20,Alabama
259,eg:Record,87000,Fayette,Disability / Children,235,Alabama
260,eg:Record,2240000,Fayette,Aged 65 or older / Men,1510,Alabama
261,eg:Record,5825000,Franklin,Retirement / Retired workers,4520,Alabama
262,eg:Record,132000,Franklin,Retirement / Spouses,200,Alabama
263,eg:Record,39000,Franklin,Retirement / Children,55,Alabama
264,eg:Record,690000,Franklin,Survivors / Widow(er)s and parents,595,Alabama
265,eg:Record,246000,Franklin,Survivors / Children,305,Alabama
266,eg:Record,1738000,Franklin,Disability / Disabled workers,1545,Alabama
267,eg:Record,8000,Franklin,Disability / Spouses,25,Alabama
268,eg:Record,106000,Franklin,Disability / Children,310,Alabama
269,eg:Record,3200000,Franklin,Aged 65 or older / Men,2160,Alabama
270,eg:Record,5794000,Geneva,Retirement / Retired workers,4730,Alabama
271,eg:Record,100000,Geneva,Retirement / Spouses,160,Alabama
272,eg:Record,45000,Geneva,Retirement / Children,70,Alabama
273,eg:Record,567000,Geneva,Survivors / Widow(er)s and parents,520,Alabama
274,eg:Record,175000,Geneva,Survivors / Children,235,Alabama
275,eg:Record,1736000,Geneva,Disability / Disabled workers,1570,Alabama
276,eg:Record,4000,Geneva,Disability / Spouses,15,Alabama
277,eg:Record,97000,Geneva,Disability / Children,285,Alabama
278,eg:Record,3044000,Geneva,Aged 65 or older / Men,2210,Alabama
279,eg:Record,1630000,Greene,Retirement / Retired workers,1345,Alabama
280,eg:Record,36000,Greene,Retirement / Spouses,65,Alabama
281,eg:Record,31000,Greene,Retirement / Children,45,Alabama
282,eg:Record,174000,Greene,Survivors / Widow(er)s and parents,170,Alabama
283,eg:Record,79000,Greene,Survivors / Children,130,Alabama
284,eg:Record,734000,Greene,Disability / Disabled workers,690,Alabama
285,eg:Record,2000,Greene,Disability / Spouses,10,Alabama
286,eg:Record,43000,Greene,Disability / Children,150,Alabama
287,eg:Record,862000,Greene,Aged 65 or older / Men,645,Alabama
288,eg:Record,2852000,Hale,Retirement / Retired workers,2280,Alabama
289,eg:Record,57000,Hale,Retirement / Spouses,95,Alabama
290,eg:Record,38000,Hale,Retirement / Children,65,Alabama
291,eg:Record,304000,Hale,Survivors / Widow(er)s and parents,305,Alabama
292,eg:Record,144000,Hale,Survivors / Children,185,Alabama
293,eg:Record,1487000,Hale,Disability / Disabled workers,1345,Alabama
294,eg:Record,3000,Hale,Disability / Spouses,10,Alabama
295,eg:Record,99000,Hale,Disability / Children,300,Alabama
296,eg:Record,1556000,Hale,Aged 65 or older / Men,1110,Alabama
297,eg:Record,4364000,Henry,Retirement / Retired workers,3335,Alabama
298,eg:Record,76000,Henry,Retirement / Spouses,115,Alabama
299,eg:Record,33000,Henry,Retirement / Children,50,Alabama
300,eg:Record,324000,Henry,Survivors / Widow(er)s and parents,285,Alabama
301,eg:Record,114000,Henry,Survivors / Children,135,Alabama
302,eg:Record,1238000,Henry,Disability / Disabled workers,1050,Alabama
303,eg:Record,3000,Henry,Disability / Spouses,10,Alabama
304,eg:Record,61000,Henry,Disability / Children,170,Alabama
305,eg:Record,2316000,Henry,Aged 65 or older / Men,1555,Alabama
306,eg:Record,21680000,Houston,Retirement / Retired workers,15980,Alabama
307,eg:Record,444000,Houston,Retirement / Spouses,590,Alabama
308,eg:Record,179000,Houston,Retirement / Children,265,Alabama
309,eg:Record,1977000,Houston,Survivors / Widow(er)s and parents,1675,Alabama
310,eg:Record,670000,Houston,Survivors / Children,855,Alabama
311,eg:Record,5763000,Houston,Disability / Disabled workers,5080,Alabama
312,eg:Record,21000,Houston,Disability / Spouses,70,Alabama
313,eg:Record,308000,Houston,Disability / Children,965,Alabama
314,eg:Record,11285000,Houston,Aged 65 or older / Men,7265,Alabama
315,eg:Record,12063000,Jackson,Retirement / Retired workers,8995,Alabama
316,eg:Record,290000,Jackson,Retirement / Spouses,410,Alabama
317,eg:Record,76000,Jackson,Retirement / Children,110,Alabama
318,eg:Record,1272000,Jackson,Survivors / Widow(er)s and parents,1065,Alabama
319,eg:Record,420000,Jackson,Survivors / Children,520,Alabama
320,eg:Record,3350000,Jackson,Disability / Disabled workers,2850,Alabama
321,eg:Record,16000,Jackson,Disability / Spouses,55,Alabama
322,eg:Record,161000,Jackson,Disability / Children,470,Alabama
323,eg:Record,6508000,Jackson,Aged 65 or older / Men,4260,Alabama
324,eg:Record,125167000,Jefferson,Retirement / Retired workers,86435,Alabama
325,eg:Record,3368000,Jefferson,Retirement / Spouses,4015,Alabama
326,eg:Record,1382000,Jefferson,Retirement / Children,1890,Alabama
327,eg:Record,13654000,Jefferson,Survivors / Widow(er)s and parents,10505,Alabama
328,eg:Record,5111000,Jefferson,Survivors / Children,6090,Alabama
329,eg:Record,32801000,Jefferson,Disability / Disabled workers,27660,Alabama
330,eg:Record,99000,Jefferson,Disability / Spouses,275,Alabama
331,eg:Record,1910000,Jefferson,Disability / Children,5210,Alabama
332,eg:Record,63628000,Jefferson,Aged 65 or older / Men,38750,Alabama
333,eg:Record,3297000,Lamar,Retirement / Retired workers,2610,Alabama
334,eg:Record,53000,Lamar,Retirement / Spouses,75,Alabama
335,eg:Record,23000,Lamar,Retirement / Children,35,Alabama
336,eg:Record,325000,Lamar,Survivors / Widow(er)s and parents,285,Alabama
337,eg:Record,111000,Lamar,Survivors / Children,130,Alabama
338,eg:Record,1118000,Lamar,Disability / Disabled workers,955,Alabama
339,eg:Record,4000,Lamar,Disability / Spouses,15,Alabama
340,eg:Record,76000,Lamar,Disability / Children,205,Alabama
341,eg:Record,1766000,Lamar,Aged 65 or older / Men,1225,Alabama
342,eg:Record,21294000,Lauderdale,Retirement / Retired workers,15125,Alabama
343,eg:Record,700000,Lauderdale,Retirement / Spouses,935,Alabama
344,eg:Record,155000,Lauderdale,Retirement / Children,205,Alabama
345,eg:Record,2385000,Lauderdale,Survivors / Widow(er)s and parents,1860,Alabama
346,eg:Record,596000,Lauderdale,Survivors / Children,740,Alabama
347,eg:Record,5049000,Lauderdale,Disability / Disabled workers,4310,Alabama
348,eg:Record,33000,Lauderdale,Disability / Spouses,95,Alabama
349,eg:Record,270000,Lauderdale,Disability / Children,755,Alabama
350,eg:Record,11594000,Lauderdale,Aged 65 or older / Men,7100,Alabama
351,eg:Record,7122000,Lawrence,Retirement / Retired workers,5165,Alabama
352,eg:Record,259000,Lawrence,Retirement / Spouses,370,Alabama
353,eg:Record,52000,Lawrence,Retirement / Children,80,Alabama
354,eg:Record,915000,Lawrence,Survivors / Widow(er)s and parents,770,Alabama
355,eg:Record,268000,Lawrence,Survivors / Children,325,Alabama
356,eg:Record,2446000,Lawrence,Disability / Disabled workers,1965,Alabama
357,eg:Record,16000,Lawrence,Disability / Spouses,40,Alabama
358,eg:Record,127000,Lawrence,Disability / Children,320,Alabama
359,eg:Record,4002000,Lawrence,Aged 65 or older / Men,2565,Alabama
360,eg:Record,22691000,Lee,Retirement / Retired workers,15800,Alabama
361,eg:Record,471000,Lee,Retirement / Spouses,600,Alabama
362,eg:Record,218000,Lee,Retirement / Children,295,Alabama
363,eg:Record,1845000,Lee,Survivors / Widow(er)s and parents,1475,Alabama
364,eg:Record,828000,Lee,Survivors / Children,1010,Alabama
365,eg:Record,6157000,Lee,Disability / Disabled workers,5030,Alabama
366,eg:Record,20000,Lee,Disability / Spouses,65,Alabama
367,eg:Record,445000,Lee,Disability / Children,1200,Alabama
368,eg:Record,12117000,Lee,Aged 65 or older / Men,7345,Alabama
369,eg:Record,16906000,Limestone,Retirement / Retired workers,12135,Alabama
370,eg:Record,505000,Limestone,Retirement / Spouses,670,Alabama
371,eg:Record,127000,Limestone,Retirement / Children,180,Alabama
372,eg:Record,1629000,Limestone,Survivors / Widow(er)s and parents,1320,Alabama
373,eg:Record,546000,Limestone,Survivors / Children,670,Alabama
374,eg:Record,4139000,Limestone,Disability / Disabled workers,3405,Alabama
375,eg:Record,22000,Limestone,Disability / Spouses,60,Alabama
376,eg:Record,237000,Limestone,Disability / Children,630,Alabama
377,eg:Record,9256000,Limestone,Aged 65 or older / Men,5755,Alabama
378,eg:Record,2072000,Lowndes,Retirement / Retired workers,1735,Alabama
379,eg:Record,32000,Lowndes,Retirement / Spouses,50,Alabama
380,eg:Record,31000,Lowndes,Retirement / Children,55,Alabama
381,eg:Record,210000,Lowndes,Survivors / Widow(er)s and parents,210,Alabama
382,eg:Record,91000,Lowndes,Survivors / Children,135,Alabama
383,eg:Record,849000,Lowndes,Disability / Disabled workers,780,Alabama
384,eg:Record,2000,Lowndes,Disability / Spouses,10,Alabama
385,eg:Record,64000,Lowndes,Disability / Children,195,Alabama
386,eg:Record,1102000,Lowndes,Aged 65 or older / Men,830,Alabama
387,eg:Record,3593000,Macon,Retirement / Retired workers,3000,Alabama
388,eg:Record,48000,Macon,Retirement / Spouses,75,Alabama
389,eg:Record,40000,Macon,Retirement / Children,65,Alabama
390,eg:Record,310000,Macon,Survivors / Widow(er)s and parents,315,Alabama
391,eg:Record,134000,Macon,Survivors / Children,200,Alabama
392,eg:Record,1178000,Macon,Disability / Disabled workers,1035,Alabama
393,eg:Record,1000,Macon,Disability / Spouses,5,Alabama
394,eg:Record,61000,Macon,Disability / Children,160,Alabama
395,eg:Record,1719000,Macon,Aged 65 or older / Men,1340,Alabama
396,eg:Record,63730000,Madison,Retirement / Retired workers,44575,Alabama
397,eg:Record,1937000,Madison,Retirement / Spouses,2355,Alabama
398,eg:Record,446000,Madison,Retirement / Children,610,Alabama
399,eg:Record,5767000,Madison,Survivors / Widow(er)s and parents,4505,Alabama
400,eg:Record,1919000,Madison,Survivors / Children,2265,Alabama
401,eg:Record,11887000,Madison,Disability / Disabled workers,9900,Alabama
402,eg:Record,37000,Madison,Disability / Spouses,120,Alabama
403,eg:Record,653000,Madison,Disability / Children,1800,Alabama
404,eg:Record,33690000,Madison,Aged 65 or older / Men,20430,Alabama
405,eg:Record,4447000,Marengo,Retirement / Retired workers,3270,Alabama
406,eg:Record,116000,Marengo,Retirement / Spouses,155,Alabama
407,eg:Record,72000,Marengo,Retirement / Children,100,Alabama
